SEXO;FECHA_NACIMIENTO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;DISCAPACIDAD;PERIODO_MATRICULA;FACULTAD;ESCUELA_PROFESIONAL;CICLO;NOTA_PROMEDIO;PERIODO_INGRESO;PERIODO_PRIMERA_MATRICULA;FECHA_MATRICULA;CREDITOS_MATRICULADOS
FEMENINO;20010823;50301;AYACUCHO;HUANTA;HUANTA;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;14;2022-1;2022-1;20230926;21
FEMENINO;20030517;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
FEMENINO;19950415;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;3;10.41;2016-1;2016-1;20230926;14
MASCULINO;20060226;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;1;0;2023-1;2023-1;20230926;22
MASCULINO;20050429;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;2;15.5;2022-1;2022-1;20230926;22
FEMENINO;20010829;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;9;12.87;2019-1;2019-1;20230926;22
FEMENINO;20030625;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
MASCULINO;19980831;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;6;10.23;2017-1;2017-1;20230926;22
FEMENINO;20051026;50710;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
MASCULINO;20011113;50710;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;4;12.74;2021-1;2022-1;20230926;22
FEMENINO;20021109;30101;APURIMAC;ABANCAY;ABANCAY;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;15.36;2021-1;2022-1;20230926;22
FEMENINO;19921111;50905;AYACUCHO;VILCAS HUAMAN;CONCEPCION;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;9;10.6;2012-1;2012-1;20230926;19
MASCULINO;20050317;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;2;10.32;2022-1;2022-1;20230926;9
FEMENINO;20010528;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;8;12.68;2019-1;2019-1;20230926;21
FEMENINO;19941129;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;7;12.25;2016-1;2016-1;20230926;22
FEMENINO;19990715;50301;AYACUCHO;HUANTA;HUANTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;7;13;2019-1;2019-1;20230926;22
MASCULINO;20000226;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;9;12.52;2019-1;2019-1;20230926;24
MASCULINO;19930707;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;8;7.06;2015-1;2015-1;20230926;14
FEMENINO;20000722;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;6;7.73;2000-1;2022-1;20230926;20
FEMENINO;19960913;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;4;10.27;2020-2;2022-1;20230926;18
MASCULINO;19980429;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;8;14.29;2018-1;2018-1;20230926;15
FEMENINO;19990723;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;13.14;2021-1;2022-1;20230926;22
FEMENINO;20030714;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;5;13.73;2021-1;2022-1;20230926;22
FEMENINO;19951220;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;7;8.5;2015-1;2015-1;20230926;20
MASCULINO;20000516;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;5;11.14;2000-1;2022-1;20230926;24
MASCULINO;20030705;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;14.86;2022-1;2022-1;20230926;21
FEMENINO;20020106;50402;AYACUCHO;LA MAR;ANCO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;0;2021-1;2022-1;20230926;17
FEMENINO;20020712;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;4;13.28;2021-1;2022-1;20230926;19
FEMENINO;19981115;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;9;14;2019-1;2019-1;20230926;20
